id,situacao,nome_completo,cpf_cnpj,telefone,email,endereco_completo,cidade,patrimonio,estado_civil,nome_conjuge,cpf_conjuge,observacoes,data_cadastro,data_atualizacao
1,Inquilino,Maria da Silva,123.456.789-00,(67) 99999-0000,maria@email.com,"R. Principal, 500",Campo Grande,500000.0,Casado,Ana Antunes,555.666.777-88,,2026-01-17 20:30:08,2026-01-17 20:30:08
2,Inquilino,João Santos,987.654.321-00,(67) 88888-0000,joao@email.com,R. dos boboas n.0,São Cipriano - SC,2000000.0,Casado,Cláudia Fofoca,987.443.771.34,,2026-01-17 20:30:08,2026-01-17 20:30:08
3,Fiador,Miriam Maria Coelho,992.443.331-20,(88)5546-1122,moedapoucaebobagem@uol.com.br,"Av. da Praia, 14",Goiânia - GO,400000.0,solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
4,Fiador,Moises o Cara,992.888.777-00,(55)4321-1123,doaltodamontanha@email.com,R. dos Industriais,Bento Gonçalves - RS,10000000.0,Casado,Ana Lúcia o Cara,445.240.201-17,,2026-01-17 20:30:08,2026-01-17 20:30:08
5,Inquilino,Carlos do Chapéu,111.222.333-44,(11) 91234-5678,ocaradochapeu@email.com,"Rua das Flores, 10",São Paulo - SP,150000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
6,Fiador,Regina da Economia,555.444.333-22,(21) 98888-7777,maoaberta@uol.com.br,"Av. Central, 1000",Rio de Janeiro - RJ,5000000.0,Casado,Roberto Gastão,666.777.888-99,,2026-01-17 20:30:08,2026-01-17 20:30:08
7,Inquilino,Zé da Padaria,999.888.777-66,(31) 97777-6666,paozinhoquente@email.com,"R. do Trigo, 50",Belo Horizonte - MG,85000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
8,Fiador,Magnólia das Flores,444.555.666-77,(41) 3344-5566,jardimvivido@email.com,"Al. das Rosas, 21",Curitiba - PR,1200000.0,Casado,Tulipa Silvestre,111.000.111-22,,2026-01-17 20:30:08,2026-01-17 20:30:08
9,Inquilino,Pedro Pedregulho,222.333.444-55,(85) 96666-5555,pedranasapato@email.com,"R. da Pedreira, 99",Fortaleza - CE,45000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
10,Fiador,Úrsula a Única,777.888.999-00,(51) 3020-1010,soexisteuma@email.com,"Av. Independência, 5",Porto Alegre - RS,8500000.0,Divorciado,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
11,Inquilino,Tiago sem Pressa,333.444.555-66,(62) 95555-4444,devagarsevailonge@uol.com.br,"Travessa da Paz, 7",Goiânia - GO,30000.0,Solteiro,,,,2026-01-17 20:30:08,2026-01-17 20:30:08
